origem_uf,destino_uf,distancia_km,peso_kg,tipo_carga,modal,prazo_dias,frete_final_r$
RS,RJ,1553,28252.21,Frágil,Ferroviário,6,6081.79
GO,SP,2437,26356.52,Perecível,Aéreo,13,16286.38
RS,SP,2777,26694.62,Perecível,Rodoviário,3,17519.53
RS,SP,2523,2701.52,Perecível,Rodoviário,2,14867.87
MG,SP,2634,247.38,Perecível,Aéreo,7,16226.75
SP,PR,994,26999.46,Industrial,Ferroviário,4,3666.13
SP,MG,176,8849.43,Comum,Rodoviário,11,524.0
RJ,MG,486,28046.84,Perecível,Ferroviário,7,2736.63
ES,SP,1765,15688.12,Industrial,Rodoviário,8,6472.56
PR,RS,805,26338.94,Inflamável,Rodoviário,12,4924.69
PE,ES,1534,14060.37,Frágil,Rodoviário,11,6149.44
ES,PE,370,23246.22,Industrial,Ferroviário,3,2603.33
PE,RJ,920,11837.25,Comum,Rodoviário,6,3672.54
MG,PR,1281,24317.4,Industrial,Aéreo,5,7439.32
ES,SP,458,20888.3,Inflamável,Aéreo,5,4149.93
RJ,GO,1276,22714.45,Frágil,Ferroviário,10,5385.28
ES,RJ,1601,27019.72,Perecível,Ferroviário,2,9593.59
RS,MG,2158,17079.33,Comum,Ferroviário,13,7514.39
RS,SC,2804,29913.21,Frágil,Rodoviário,5,11930.93
PR,GO,1120,29026.3,Comum,Aéreo,14,7067.65
BA,ES,2517,17349.27,Inflamável,Ferroviário,4,10749.47
GO,ES,2874,22073.89,Inflamável,Rodoviário,5,13738.48
RS,ES,1818,6186.92,Industrial,Aéreo,7,10166.74
ES,SP,105,11631.95,Industrial,Rodoviário,8,817.64
SP,SC,2224,17737.13,Perecível,Aéreo,7,14734.91
SC,SC,182,29232.79,Comum,Aéreo,3,2642.2
PE,MG,2129,6877.68,Perecível,Ferroviário,6,8257.3
RS,SC,1121,18053.82,Perecível,Rodoviário,12,5397.63
SC,MG,1708,3385.36,Perecível,Ferroviário,2,9809.82
MG,RS,1305,17080.73,Industrial,Aéreo,9,7568.33
RS,RS,2971,23946.56,Frágil,Ferroviário,5,11305.54
SP,RS,869,11845.48,Frágil,Rodoviário,14,3326.65
BA,SP,248,10329.26,Industrial,Rodoviário,10,1022.59
MG,RJ,1120,26087.81,Perecível,Aéreo,7,7627.23
SC,PE,1994,7350.99,Industrial,Rodoviário,13,7352.58
RS,SC,623,156.11,Perecível,Aéreo,7,4129.75
RJ,MG,1487,12485.79,Comum,Rodoviário,2,7383.86
MG,PR,1922,12389.9,Frágil,Aéreo,2,16977.08
MG,PR,2111,740.36,Perecível,Rodoviário,5,8380.63
SP,GO,2529,19191.94,Comum,Ferroviário,13,8517.5
PE,RS,1256,21909.69,Perecível,Ferroviário,1,7277.17
GO,MG,838,18812.91,Frágil,Ferroviário,2,5037.35
RS,RJ,2483,2896.96,Frágil,Rodoviário,3,14362.96
ES,SC,1950,12671.96,Comum,Aéreo,1,15058.41
BA,PE,322,15235.97,Frágil,Aéreo,5,2048.71
SP,BA,2130,6753.93,Industrial,Rodoviário,1,10573.46
RJ,RS,839,21989.1,Comum,Ferroviário,3,4044.54
RJ,MG,2912,20165.15,Industrial,Aéreo,8,16013.56
RJ,PE,1834,21160.08,Perecível,Ferroviário,8,6963.42
SC,PR,1920,116.24,Comum,Ferroviário,6,6524.83
RJ,SP,691,27302.29,Perecível,Rodoviário,3,4704.99
PR,GO,793,24067.5,Industrial,Rodoviário,1,4224.32
PE,RS,2081,3507.67,Comum,Rodoviário,7,7556.8
MG,RJ,2231,499.12,Industrial,Rodoviário,11,7735.68
GO,MG,1773,15049.36,Perecível,Ferroviário,8,7049.91
ES,GO,247,16295.45,Comum,Ferroviário,13,1027.52
PE,ES,710,3001.35,Industrial,Ferroviário,6,2651.13
RJ,RJ,2803,28242.22,Perecível,Rodoviário,5,12172.85
RJ,PE,1432,29183.84,Inflamável,Rodoviário,1,10031.83
SP,ES,2551,4949.25,Inflamável,Aéreo,1,24680.06
ES,SC,1433,9213.29,Perecível,Rodoviário,10,6505.66
SP,MG,2796,22905.01,Inflamável,Ferroviário,8,12513.49
RS,RJ,2272,19993.88,Perecível,Aéreo,7,15102.96
BA,MG,2919,13011.87,Perecível,Ferroviário,9,11544.0
RS,RJ,2774,14015.66,Perecível,Aéreo,13,17437.79
ES,SC,2663,4520.94,Inflamável,Ferroviário,5,11581.88
MG,MG,421,15061.91,Inflamável,Ferroviário,10,1953.87
GO,SC,933,14992.05,Frágil,Rodoviário,5,3967.05
GO,RJ,2483,9169.34,Industrial,Rodoviário,8,8809.84
PE,GO,198,24370.58,Perecível,Aéreo,3,2833.38
PR,ES,636,21589.83,Frágil,Ferroviário,9,3023.16
RS,ES,2910,4483.28,Inflamável,Aéreo,8,20081.08
RJ,SP,1167,22325.35,Inflamável,Ferroviário,9,5612.69
RJ,RJ,1684,13552.42,Inflamável,Aéreo,1,16958.27
SP,RS,2885,16395.02,Inflamável,Rodoviário,14,13097.48
RS,BA,811,20174.21,Industrial,Ferroviário,4,3095.56
RS,PE,244,26998.86,Comum,Rodoviário,13,1223.23
BA,RS,1262,959.19,Perecível,Aéreo,5,8108.34
SC,BA,2067,18182.36,Industrial,Ferroviário,3,9706.5
RS,SC,451,16574.62,Frágil,Rodoviário,8,2289.23
ES,GO,2723,8381.35,Inflamável,Rodoviário,4,12788.47
RJ,RS,983,6200.68,Industrial,Aéreo,11,5096.48
RJ,SP,1318,27508.68,Perecível,Rodoviário,2,8698.26
RJ,PR,389,28443.08,Frágil,Ferroviário,12,1809.51
RS,SC,2006,5822.2,Comum,Rodoviário,13,7033.29
GO,ES,844,21741.4,Perecível,Rodoviário,9,3775.57
SC,SP,2597,4560.91,Perecível,Ferroviário,6,9916.59
PE,BA,1513,5107.77,Frágil,Aéreo,5,8738.98
ES,SC,1375,9259.38,Comum,Aéreo,4,7118.76
RS,RJ,845,27103.33,Industrial,Aéreo,2,7505.63
PE,SC,2484,3599.93,Industrial,Ferroviário,14,8188.33
RS,BA,443,2307.93,Inflamável,Rodoviário,12,2327.31
PE,BA,1277,1968.17,Comum,Aéreo,6,7081.08
GO,PE,679,12604.93,Comum,Ferroviário,10,1966.49
PR,RJ,1303,5778.91,Inflamável,Rodoviário,14,6399.77
SC,RS,924,20270.26,Industrial,Rodoviário,3,4855.13
PR,SC,1399,13502.51,Industrial,Rodoviário,10,4843.91
PE,PR,2610,10292.53,Frágil,Rodoviário,6,10743.72
GO,SC,2431,4852.33,Perecível,Ferroviário,10,9659.69
SP,MG,2660,24514.43,Frágil,Aéreo,6,17446.7
MG,PR,2476,2180.0,Industrial,Aéreo,5,13677.95
RJ,MG,1656,26177.99,Comum,Aéreo,14,9485.63
RJ,PE,1546,8668.98,Industrial,Ferroviário,3,7287.14
SC,SC,1262,11982.77,Inflamável,Ferroviário,5,5591.42
RS,GO,2557,21623.08,Perecível,Rodoviário,13,10938.48
PE,GO,268,16718.4,Perecível,Ferroviário,5,1414.23
BA,SP,1348,11928.34,Frágil,Rodoviário,12,5397.46
ES,RJ,1402,14258.39,Industrial,Ferroviário,14,5029.01
SC,PR,1426,373.07,Inflamável,Aéreo,6,9784.81
PE,GO,1052,22349.85,Inflamável,Ferroviário,2,6650.32
BA,RS,449,24525.15,Inflamável,Aéreo,4,4118.46
ES,BA,2039,7685.7,Industrial,Aéreo,3,15832.28
RJ,BA,1897,3481.27,Inflamável,Rodoviário,11,8966.41
ES,ES,907,2775.93,Comum,Rodoviário,10,3735.75
ES,SP,2672,9332.3,Frágil,Rodoviário,6,10806.63
SP,ES,287,21854.44,Frágil,Rodoviário,14,2110.02
BA,PE,2437,614.1,Perecível,Rodoviário,12,10178.11
PR,PR,1069,17393.66,Perecível,Ferroviário,3,6621.7
PE,RJ,347,21720.24,Comum,Aéreo,4,2569.85
ES,PE,182,25426.98,Frágil,Rodoviário,9,933.75
GO,RJ,147,14744.29,Comum,Ferroviário,9,1111.77
RS,SC,335,15348.03,Inflamável,Ferroviário,9,2286.84
MG,SC,2216,8265.77,Frágil,Aéreo,8,13805.5
RS,BA,52,8618.06,Industrial,Rodoviário,1,470.09
GO,RS,2047,6460.28,Inflamável,Ferroviário,8,8719.81
RS,ES,2469,16912.57,Industrial,Aéreo,4,13262.63
SC,MG,392,18340.79,Inflamável,Aéreo,11,3454.5
PE,MG,2904,21966.46,Industrial,Ferroviário,6,9100.31
SP,RJ,2877,28004.49,Perecível,Ferroviário,12,11269.17
ES,BA,2270,3559.14,Comum,Aéreo,10,11844.14
BA,ES,376,26016.48,Inflamável,Rodoviário,5,1949.12
PE,BA,2999,24823.78,Frágil,Ferroviário,13,11196.19
RS,MG,2927,12608.94,Perecível,Ferroviário,6,11520.44
ES,SC,2995,2613.78,Frágil,Rodoviário,1,17031.64
MG,SC,480,20703.45,Comum,Rodoviário,14,2233.05
SP,PE,1939,20510.9,Industrial,Aéreo,7,11136.3
SP,SP,2729,10131.95,Inflamável,Rodoviário,12,12963.87
BA,MG,175,16741.32,Comum,Rodoviário,8,461.67
RJ,RJ,109,3900.49,Frágil,Rodoviário,13,800.92
SP,GO,177,15128.82,Industrial,Rodoviário,2,1458.77
RJ,RJ,1587,12719.04,Comum,Ferroviário,1,7070.58
ES,GO,286,22644.11,Perecível,Aéreo,1,3213.55
PE,SP,1789,12680.7,Industrial,Ferroviário,3,7977.4
BA,PE,2623,20320.12,Industrial,Aéreo,3,19976.54
GO,ES,2431,12472.1,Frágil,Ferroviário,5,9032.74
PE,SP,2653,12631.29,Perecível,Aéreo,13,17130.99
RS,SP,334,17118.53,Frágil,Ferroviário,11,1316.09
MG,RS,2060,24888.98,Inflamável,Aéreo,12,14680.79
MG,GO,374,17186.11,Frágil,Aéreo,11,2880.96
MG,MG,2278,19634.01,Frágil,Rodoviário,6,9156.21
GO,SC,761,23478.94,Industrial,Aéreo,6,4671.66
SP,SC,309,10257.02,Frágil,Rodoviário,6,1942.98
ES,RJ,1841,4677.91,Inflamável,Aéreo,10,12909.25
GO,PE,886,29297.66,Industrial,Aéreo,14,5737.12
PE,RS,1797,10822.21,Industrial,Ferroviário,12,5546.21
SP,RS,1571,29073.37,Industrial,Aéreo,6,8691.43
SC,BA,2219,12148.51,Inflamável,Rodoviário,6,10283.48
MG,PR,2894,7856.73,Comum,Aéreo,10,15991.19
SC,GO,2148,27792.13,Frágil,Ferroviário,4,8515.83
GO,MG,1996,22150.34,Inflamável,Rodoviário,8,9595.06
SC,RJ,2308,14575.24,Frágil,Aéreo,13,13873.29
SP,RS,2624,24073.28,Industrial,Ferroviário,12,8275.04
SP,PE,803,7979.68,Industrial,Aéreo,2,6027.09
PE,PR,2492,1989.54,Industrial,Ferroviário,6,7815.7
RJ,BA,2713,28585.92,Comum,Aéreo,2,21162.16
MG,RJ,2376,13101.54,Inflamável,Rodoviário,9,11652.07
PE,PE,821,13015.61,Inflamável,Aéreo,4,6263.76
SC,GO,1144,8449.03,Comum,Aéreo,8,6314.78
RS,RS,2520,377.07,Inflamável,Aéreo,3,24165.01
PR,RS,816,28281.56,Frágil,Ferroviário,5,2677.81
ES,RS,987,28283.19,Frágil,Aéreo,1,9654.35
BA,RJ,2244,7491.51,Comum,Rodoviário,8,8338.34
SP,BA,2334,29733.92,Comum,Rodoviário,5,8613.08
ES,GO,232,12394.16,Perecível,Ferroviário,5,1456.95
SP,BA,2457,8392.96,Comum,Rodoviário,13,8422.88
PR,GO,2466,3251.2,Frágil,Aéreo,9,14890.78
RS,RS,1671,11018.21,Comum,Rodoviário,7,6070.9
PR,RJ,1712,23130.94,Frágil,Rodoviário,10,7152.63
RS,SP,1863,19060.98,Frágil,Ferroviário,11,7812.23
RS,MG,2871,6283.68,Industrial,Aéreo,10,15120.51
RJ,PE,2668,22207.77,Frágil,Ferroviário,4,9849.01
SC,SC,623,29682.38,Frágil,Ferroviário,8,2916.26
PE,GO,1281,28134.4,Perecível,Ferroviário,10,5230.04
PE,BA,1375,9958.06,Inflamável,Aéreo,1,13828.57
MG,RS,2959,12663.3,Industrial,Rodoviário,5,10630.31
PE,RS,2942,16716.0,Inflamável,Rodoviário,13,13554.84
GO,BA,303,8774.63,Perecível,Ferroviário,10,1067.71
BA,ES,964,13985.84,Frágil,Aéreo,3,8251.85
BA,PR,277,8349.0,Frágil,Aéreo,4,2460.18
ES,PR,1242,27215.25,Perecível,Ferroviário,8,5183.44
PR,ES,356,410.24,Perecível,Ferroviário,7,1380.94
ES,PE,932,14206.71,Frágil,Aéreo,10,6168.69
SP,ES,2978,7879.7,Perecível,Aéreo,8,19213.49
GO,RJ,2688,308.13,Frágil,Aéreo,10,15943.61
MG,BA,1926,465.8,Perecível,Aéreo,8,12490.5
MG,PR,579,22322.89,Comum,Ferroviário,9,1680.54
SC,RJ,2949,28162.41,Inflamável,Ferroviário,2,17917.64
RJ,RJ,964,20448.95,Comum,Rodoviário,2,4847.63
SC,SC,2185,28999.81,Perecível,Aéreo,8,15006.86
MG,SC,2331,509.23,Industrial,Rodoviário,4,8400.42
ES,PE,1723,24421.34,Comum,Ferroviário,1,8045.53
GO,RJ,1994,3693.02,Comum,Aéreo,10,10062.86
GO,MG,2115,18892.18,Industrial,Rodoviário,12,7537.02
PE,SC,602,15541.36,Inflamável,Rodoviário,11,2671.17
ES,PE,1303,3152.34,Comum,Ferroviário,14,4073.15
GO,RS,2727,9201.89,Perecível,Ferroviário,11,10978.91
RS,SP,1036,21540.84,Perecível,Rodoviário,8,5437.13
SP,RS,2155,19444.06,Frágil,Rodoviário,1,12821.41
RS,SC,2232,28783.87,Perecível,Ferroviário,2,12397.34
SC,BA,346,6657.89,Frágil,Rodoviário,12,1286.8
RS,PE,1575,20080.18,Comum,Rodoviário,10,6077.5
ES,PR,1943,11196.69,Frágil,Rodoviário,11,7759.92
RJ,GO,1781,18174.5,Comum,Aéreo,1,13310.48
RJ,GO,2956,26391.78,Comum,Rodoviário,14,10757.86
SP,SC,571,1885.38,Frágil,Rodoviário,3,2928.22
RS,GO,103,8658.62,Perecível,Rodoviário,1,940.24
MG,PE,2398,7645.55,Inflamável,Rodoviário,10,11324.55
ES,RJ,2108,4000.08,Frágil,Aéreo,13,12953.46
SP,PR,1270,22774.13,Perecível,Rodoviário,4,6292.16
SC,RS,918,14975.83,Comum,Rodoviário,1,5249.58
MG,BA,2755,8656.79,Inflamável,Aéreo,12,19899.82
PE,GO,2359,17942.04,Perecível,Ferroviário,5,9369.95
SC,MG,194,11177.52,Frágil,Ferroviário,5,1330.4
BA,BA,1792,17536.29,Industrial,Ferroviário,6,6129.43
ES,SP,516,8410.95,Industrial,Ferroviário,5,1342.05
ES,PE,2743,12214.02,Inflamável,Aéreo,5,18850.7
GO,SC,2572,934.4,Industrial,Aéreo,13,13754.79
SP,SC,2773,19860.26,Inflamável,Ferroviário,11,11287.69
SC,PE,136,18415.55,Frágil,Rodoviário,2,1209.16
RJ,SP,801,24572.84,Inflamável,Aéreo,2,8957.23
ES,SC,2175,803.73,Industrial,Aéreo,1,15881.6
BA,SP,2043,6121.05,Inflamável,Ferroviário,1,12139.28
ES,PE,2595,5849.42,Industrial,Rodoviário,14,9160.46
BA,SP,1182,21223.08,Industrial,Aéreo,5,6950.82
RS,PR,291,26020.06,Inflamável,Ferroviário,5,1790.44
PR,PR,1431,17621.08,Frágil,Aéreo,2,12618.55
PE,RJ,701,3068.03,Industrial,Aéreo,14,3463.82
RS,SP,2175,25609.6,Industrial,Aéreo,6,11571.07
RS,BA,1282,23118.47,Frágil,Ferroviário,13,5511.09
SP,MG,1568,10307.42,Inflamável,Rodoviário,4,7832.15
GO,BA,1410,4674.18,Industrial,Rodoviário,14,5298.73
MG,BA,2100,14069.98,Industrial,Aéreo,11,11278.23
RJ,RS,1227,17298.25,Industrial,Rodoviário,12,4815.56
BA,RJ,986,3919.45,Perecível,Ferroviário,10,3284.46
PR,RS,1464,1803.73,Inflamável,Rodoviário,14,6898.01
MG,MG,995,13733.15,Comum,Aéreo,8,5605.79
PE,RJ,540,6972.28,Perecível,Ferroviário,8,1968.97
ES,BA,205,16076.07,Inflamável,Rodoviário,7,1150.65
ES,RS,1745,28517.08,Frágil,Aéreo,8,11312.08
MG,RJ,1857,21577.62,Industrial,Ferroviário,2,9553.37
RS,SP,2585,14783.92,Perecível,Rodoviário,8,11611.15
GO,PR,1591,25721.63,Comum,Ferroviário,7,5513.26
SP,RJ,2894,15535.79,Industrial,Rodoviário,11,10140.42
GO,PE,1537,13433.42,Industrial,Ferroviário,11,4955.38
PE,SC,1892,4239.13,Frágil,Ferroviário,9,6837.46
RS,SP,2968,341.35,Industrial,Aéreo,5,15352.78
MG,RJ,1939,7769.13,Industrial,Ferroviário,13,5852.46
ES,PR,1012,14722.14,Perecível,Ferroviário,5,4183.04
MG,RJ,263,4746.65,Frágil,Rodoviário,2,1005.48
MG,PE,2156,20427.67,Perecível,Aéreo,10,14367.69
RS,RJ,259,25479.66,Frágil,Ferroviário,4,1271.21
ES,RJ,349,17250.84,Inflamável,Ferroviário,3,2410.45
SC,GO,1095,24066.93,Industrial,Rodoviário,12,4204.77
MG,SC,1179,2986.95,Perecível,Ferroviário,12,4503.02
BA,GO,2334,19997.09,Inflamável,Aéreo,9,16653.79
PE,MG,2236,1356.65,Inflamável,Aéreo,6,15715.47
ES,ES,1352,17172.32,Frágil,Rodoviário,11,5722.24
GO,ES,2349,23419.3,Industrial,Aéreo,9,12771.0
MG,GO,1707,7785.41,Inflamável,Rodoviário,1,11251.76
MG,RS,2199,915.72,Comum,Rodoviário,9,7440.13
RS,RS,313,15297.01,Frágil,Ferroviário,2,2672.58
PE,SP,2070,7592.68,Inflamável,Ferroviário,14,8170.08
RS,GO,1923,19316.66,Inflamável,Rodoviário,9,9197.97
SC,PE,418,20928.18,Comum,Ferroviário,12,1550.84
PR,BA,1139,24392.36,Industrial,Aéreo,1,9512.2
PE,ES,318,1319.65,Industrial,Aéreo,12,1906.61
RJ,SP,1006,8701.95,Inflamável,Ferroviário,4,4968.44
PR,BA,1470,25974.01,Frágil,Rodoviário,3,9172.69
MG,PE,362,22401.49,Perecível,Ferroviário,8,1279.09
ES,RS,1532,29693.97,Frágil,Rodoviário,13,6369.48
MG,SC,1302,23937.37,Frágil,Rodoviário,5,5807.08
BA,ES,133,5852.64,Frágil,Rodoviário,9,795.07
SP,GO,2809,16650.47,Comum,Aéreo,4,15423.32
PR,ES,639,14691.74,Perecível,Rodoviário,5,3256.67
RJ,PE,468,1836.6,Perecível,Ferroviário,12,1806.28
ES,SP,1681,7693.33,Comum,Rodoviário,14,5729.42
MG,BA,1127,18466.24,Industrial,Ferroviário,8,3671.42
SC,RJ,293,6643.72,Perecível,Ferroviário,4,1217.01
RS,RS,2672,22103.28,Inflamável,Aéreo,1,27646.16
RS,ES,2223,22297.42,Inflamável,Rodoviário,10,10391.99
SP,SP,898,13695.86,Industrial,Rodoviário,9,3299.4
RJ,PR,337,22927.28,Inflamável,Ferroviário,9,1960.85
ES,MG,2616,12507.19,Frágil,Ferroviário,1,13964.05
GO,SC,1073,12958.44,Comum,Ferroviário,8,3484.25
PR,ES,2154,17499.92,Industrial,Ferroviário,8,7216.28
RJ,RS,150,27450.66,Frágil,Aéreo,14,1440.33
PE,MG,1759,28965.46,Comum,Ferroviário,2,8370.34
PR,RS,2960,5497.2,Industrial,Rodoviário,7,10602.41
SC,ES,1228,18878.46,Perecível,Rodoviário,4,5673.57
ES,BA,1490,8507.74,Comum,Ferroviário,11,5447.39
RJ,MG,2699,24150.99,Comum,Rodoviário,1,14008.11
PE,SC,302,9901.07,Inflamável,Ferroviário,9,1342.45
SC,SP,2703,1093.74,Perecível,Aéreo,6,16943.71
BA,MG,1018,17348.42,Comum,Rodoviário,14,3795.47
GO,MG,1059,11668.28,Comum,Aéreo,1,7963.8
RS,SP,427,8152.13,Industrial,Aéreo,10,2707.61
GO,SP,1476,25175.95,Industrial,Ferroviário,2,7888.5
ES,RS,975,5969.42,Industrial,Aéreo,4,4991.85
SC,GO,153,24832.49,Industrial,Rodoviário,9,852.1
RS,RJ,2532,29699.32,Comum,Rodoviário,6,9332.45
SP,PR,1004,19601.26,Comum,Ferroviário,9,3774.05
RS,RJ,1496,4901.5,Industrial,Ferroviário,2,6552.9
RJ,SC,2081,6475.23,Inflamável,Rodoviário,14,10251.52
SC,PR,1696,11933.04,Inflamável,Ferroviário,4,6775.32
MG,SP,2355,25181.9,Industrial,Aéreo,14,13452.73
